"","player_name","player_id","alt_id","league_id","goal","distance","cosangle","head","throughball","cross","fast_break","big_chance","open_play","freekick","difficult"
"23078","Ciro Immobile",610,0,2,0,58.158,0.888,0,0,0,0,0,1,0,1
"160985","Celso Borges",2646,0,4,0,68.034,0.963,0,0,0,0,0,1,0,1
"152349","Walid Mesloub",2411,0,3,0,54.444,0.976,0,0,0,0,0,0,0,0
"161347","Yunus Malli",257,0,5,0,73.88,0.975,0,0,0,1,0,1,0,0
"20155","Rémy Cabella",475,0,3,0,60.784,0.978,0,0,0,0,0,1,0,0
"42893","Matt Phillips",2218,0,1,0,71.045,0.969,0,0,0,0,0,0,0,1
"155989","Matthew Lowton",1635,0,1,0,56.698,0.951,0,1,0,0,1,1,0,0
"164954","Jérémie Aliadière",378,0,3,0,70.939,0.971,0,0,0,0,0,1,0,0
"60999","Gaëtan Courtet",106,0,3,0,58.063,0.888,0,0,1,0,0,1,0,0
"83057","Jean-Philippe Gbamin",2464,0,3,0,50.565,0.974,0,0,0,0,0,1,0,0
"36759","Daniel van Buyten",1585,0,5,0,48.461,0.996,0,0,0,0,0,0,0,0
"14264","David Luiz",551,0,1,0,72.969,0.978,0,0,0,0,0,0,1,0
"32975","Bruno Fernandes",1305,0,2,0,75.8,0.987,0,0,0,0,0,1,0,0
"69912","Mathieu Duhamel",2091,0,3,0,69.557,0.976,0,0,0,0,0,1,0,0
"22147","Jiloan Hamad",1761,0,5,0,54.584,0.802,1,0,1,0,1,1,0,0
"122787","Rubén Castro",1494,0,4,0,55.516,0.963,0,0,0,0,1,1,0,0
"101449","Marcel Risse",2163,0,5,0,63.026,0.966,0,0,0,0,0,0,1,0
"117527","Fabinho",1809,0,3,0,71.268,0.975,0,0,0,0,0,0,0,1
"38944","Max Gradel",183,0,3,0,66.597,0.969,0,0,0,0,0,1,0,1
"165402","Cristian Rivera",3393,0,4,0,59.358,0.976,0,0,0,0,0,0,0,0
"65732","Carles Gil",213,0,1,0,73.149,0.974,0,0,0,0,0,1,0,0
"76144","Yann Jouffre",375,0,3,0,59.958,0.951,0,0,1,0,1,1,0,0
"143199","Adama Traoré",1430,0,1,0,65.736,0.966,0,0,0,0,0,1,0,0
"15958","Andreas Ivanschitz",93,0,4,0,72.854,0.975,0,0,0,0,0,1,0,1
"156406","Mario Pasalic",2557,0,2,0,57.699,0.981,0,0,0,0,0,0,0,0
"89226","Rene Krhin",1113,0,4,0,57.298,0.909,0,0,1,0,0,0,0,1
"88827","Floyd Ayité",446,0,3,0,53.981,0.944,0,0,1,0,0,1,0,1
"130047","Mateo Kovacic",39,0,4,0,77.048,0.981,0,0,0,0,0,0,0,0
"95076","Ricardo Rodríguez",290,0,5,0,75.089,0.978,0,0,0,0,0,1,0,0
"150449","Munir El Haddadi",2237,0,4,0,59.3,0.938,0,0,0,0,0,0,0,0
"138015","Rubén Castro",1494,0,4,0,55.822,0.835,1,0,0,0,0,1,0,0
"66684","Silvan Widmer",1475,0,2,0,67.182,0.958,0,0,0,0,0,1,0,0
"46705","David Barral",1212,0,4,0,54.552,0.893,1,0,1,0,0,0,0,0
"28620","Curtis Davies",233,0,1,0,53.007,0.786,1,0,1,0,0,0,0,0
"151490","Arturo Vidal",731,0,5,0,57.793,0.97,0,0,0,0,0,1,0,0
"88931","Mounir Obbadi",192,0,3,0,71.948,0.972,0,0,0,0,0,1,0,0
"88167","Marc Stendera",1966,0,5,0,57.007,0.897,1,0,0,0,0,0,0,0
"19903","Charlie Adam",817,0,1,0,93.226,0.994,0,0,0,0,0,1,0,0
"116625","Geoff Cameron",227,0,1,0,53.823,0.887,1,0,1,0,0,0,0,0
"106599","Javi Guerra",38,0,4,0,59.928,0.965,0,0,0,0,0,1,0,0
"128583","Christian Eriksen",1304,0,1,0,72.768,0.973,0,0,0,0,0,1,0,0
"58280","Klaas-Jan Huntelaar",1781,0,5,0,64.509,0.96,0,0,0,0,0,0,1,0
"180427","Augusto Fernández",487,0,4,0,57.586,0.998,0,0,0,0,0,1,0,1
"95204","Dimitri Payet",744,0,1,0,65.707,0.952,0,0,0,0,0,1,0,0
"42391","Marek Hamsik",586,0,2,0,53.359,0.978,0,0,0,0,0,1,0,0
"59566","Steven Davis",575,0,1,0,76.779,0.979,0,0,0,0,0,1,0,0
"165908","Marco Borriello",454,0,2,0,54.957,0.972,0,0,0,0,0,1,0,0
"40757","Dusan Tadic",2185,0,1,0,56.181,0.923,0,0,0,0,0,1,0,1
"122651","Isaac Thelin",2641,0,3,0,63.451,0.964,0,0,0,0,0,1,0,0
"70842","Álvaro Morata",88,0,2,1,65.709,0.97,0,0,0,0,0,1,0,0
"56774","Gareth Bale",1063,0,4,0,56.182,0.981,0,0,0,0,0,1,0,0
"14186","Jordon Mutch",195,0,1,0,54.289,0.832,1,0,1,0,1,1,0,0
"81008","Lukas Podolski",1697,0,2,0,69.079,0.98,0,0,0,0,0,1,0,0
"103089","Sergio Escudero",1294,0,4,0,72.846,0.974,0,0,0,0,0,0,0,0
"50418","Danny Ings",2159,0,1,0,52.421,0.727,0,0,0,0,1,1,0,0
"125849","Oscar Hiljemark",2933,0,2,0,56.57,0.889,1,0,0,0,0,1,0,0
"143355","Robert Ibáñez",2252,0,4,0,69.851,0.969,0,0,0,0,0,0,0,0
"43600","Samuele Longo",1974,0,2,0,57.366,0.984,0,0,0,0,0,1,0,0
"80395","Cédric Mongongu",2760,0,3,0,62.77,0.936,0,0,0,0,0,0,0,0
"46936","Andrea Bertolacci",1119,0,2,0,72.436,0.972,0,0,0,0,0,0,0,1
"97627","Alfredo Morales",2953,0,5,0,60.064,0.927,0,0,0,0,0,1,0,0
"150125","Mikel Oyarzabal",3133,0,4,0,54.684,0.804,1,0,0,0,0,1,0,0
"179941","Raphael Martinho",946,0,2,0,65.79,0.952,0,0,0,0,0,1,0,0
"151455","Suso",642,0,2,0,67.234,0.959,0,0,0,0,0,1,0,0
"101991","Rubén Castro",1494,0,4,0,68.868,0.978,0,0,0,0,0,1,0,0
"34181","Theodor Gebre Selassie",1356,0,5,1,56.383,0.914,0,0,0,1,1,1,0,0
"8459","Ibai Gómez",412,0,4,0,63.295,0.976,0,0,0,0,0,1,0,0
"87016","Lossemy Karaboue",2810,0,3,0,70.016,0.967,0,0,0,0,0,1,0,0
"54358","Elderson",2064,0,3,0,60.916,0.923,0,0,0,0,1,1,0,0
